Date,CustomerID,Product,Category,Region,Quantity,Revenue,Cost,Profit,Discount
2024-06-01,CUST-02920,Product C,Home & Kitchen,East,1,76.5,52.01,24.49,0.0
2024-06-01,CUST-00563,Product D,Apparel,East,4,162.0,112.89,49.11,0.0
2024-06-01,CUST-00547,Product C,Home & Kitchen,West,4,339.15,211.39,127.76,5.0
2024-06-01,CUST-00700,Product A,Electronics,West,6,1386.0,881.28,504.72,0.0
2024-06-01,CUST-00570,Product B,Electronics,West,3,1071.0,739.44,331.56,0.0
2024-06-01,CUST-00246,Product A,Electronics,West,3,693.0,414.68,278.32,0.0
2024-06-01,CUST-02618,Product C,Home & Kitchen,North,3,234.6,198.19,36.41,20.0
2024-06-01,CUST-00005,Product A,Electronics,North,2,506.0,336.74,169.26,0.0
2024-06-01,CUST-01130,Product D,Apparel,South,3,135.0,93.88,41.12,0.0
2024-06-01,CUST-02839,Product D,Apparel,South,2,90.0,62.5,27.5,0.0
2024-06-01,CUST-00488,Product C,Home & Kitchen,South,2,170.0,95.89,74.11,0.0
2024-06-01,CUST-02745,Product C,Home & Kitchen,West,4,357.0,204.85,152.15,0.0
2024-06-01,CUST-02960,Product A,Electronics,South,1,176.0,126.79,49.21,20.0
2024-06-01,CUST-02850,Product B,Electronics,North,2,782.0,502.34,279.66,0.0
2024-06-01,CUST-01569,Product A,Electronics,North,9,2163.15,1448.18,714.97,5.0
2024-06-01,CUST-02547,Product C,Home & Kitchen,South,5,425.0,234.91,190.09,0.0
2024-06-01,CUST-01650,Product B,Electronics,East,4,1224.0,800.41,423.59,0.0
2024-06-01,CUST-01123,Product E,Apparel,East,3,145.8,108.71,37.09,10.0
2024-06-01,CUST-01904,Product B,Electronics,South,7,2023.0,1489.38,533.62,15.0
2024-06-01,CUST-00265,Product B,Electronics,South,1,272.0,230.2,41.8,20.0
2024-06-01,CUST-01920,Product C,Home & Kitchen,North,4,391.0,258.83,132.17,0.0
2024-06-01,CUST-02962,Product D,Apparel,North,9,395.89,324.19,71.7,15.0
2024-06-01,CUST-02519,Product B,Electronics,South,8,2448.0,1859.12,588.88,10.0
2024-06-01,CUST-00263,Product E,Apparel,North,5,345.0,225.76,119.24,0.0
2024-06-01,CUST-00022,Product A,Electronics,East,3,594.0,353.81,240.19,0.0
2024-06-01,CUST-02735,Product A,Electronics,North,2,404.8,295.97,108.83,20.0
2024-06-01,CUST-02057,Product D,Apparel,East,3,103.28,83.24,20.04,15.0
2024-06-01,CUST-02254,Product A,Electronics,South,2,440.0,244.27,195.73,0.0
2024-06-01,CUST-01580,Product A,Electronics,South,3,660.0,446.39,213.61,0.0
2024-06-01,CUST-02344,Product E,Apparel,West,2,126.0,70.15,55.85,0.0
2024-06-01,CUST-02569,Product D,Apparel,West,5,236.25,130.49,105.76,0.0
2024-06-01,CUST-01699,Product A,Electronics,West,1,207.9,151.54,56.36,10.0
2024-06-01,CUST-00805,Product C,Home & Kitchen,West,5,446.25,290.21,156.04,0.0
2024-06-01,CUST-02815,Product C,Home & Kitchen,East,3,206.55,145.55,61.0,10.0
2024-06-01,CUST-02042,Product B,Electronics,East,5,1300.5,970.77,329.73,15.0
2024-06-01,CUST-01723,Product C,Home & Kitchen,East,2,153.0,105.79,47.21,0.0
2024-06-01,CUST-00564,Product A,Electronics,North,2,506.0,346.29,159.71,0.0
2024-06-01,CUST-02912,Product C,Home & Kitchen,North,1,97.75,57.08,40.67,0.0
2024-06-01,CUST-00294,Product B,Electronics,South,2,680.0,398.7,281.3,0.0
2024-06-01,CUST-01154,Product C,Home & Kitchen,East,1,65.02,44.82,20.2,15.0
2024-06-01,CUST-02512,Product C,Home & Kitchen,South,2,153.0,101.68,51.32,10.0
2024-06-01,CUST-00664,Product B,Electronics,South,2,646.0,401.48,244.52,5.0
2024-06-01,CUST-02676,Product C,Home & Kitchen,West,3,267.75,164.42,103.33,0.0
2024-06-01,CUST-01364,Product E,Apparel,East,2,108.0,62.94,45.06,0.0
2024-06-01,CUST-00699,Product B,Electronics,West,5,1785.0,1062.31,722.69,0.0
2024-06-02,CUST-01029,Product A,Electronics,East,4,792.0,440.46,351.54,0.0
2024-06-02,CUST-01907,Product A,Electronics,North,3,645.15,457.77,187.38,15.0
2024-06-02,CUST-00524,Product B,Electronics,South,1,340.0,214.26,125.74,0.0
2024-06-02,CUST-02287,Product B,Electronics,North,2,703.8,503.75,200.05,10.0
2024-06-02,CUST-01891,Product A,Electronics,South,1,187.0,123.79,63.21,15.0
2024-06-02,CUST-00526,Product A,Electronics,North,3,759.0,502.55,256.45,0.0
2024-06-02,CUST-00126,Product A,Electronics,North,1,253.0,147.17,105.83,0.0
2024-06-02,CUST-02884,Product E,Apparel,North,6,414.0,287.81,126.19,0.0
2024-06-02,CUST-01313,Product B,Electronics,North,3,938.4,751.74,186.66,20.0
2024-06-02,CUST-01161,Product A,Electronics,North,3,683.1,423.79,259.31,10.0
2024-06-02,CUST-00004,Product C,Home & Kitchen,North,2,195.5,135.95,59.55,0.0
2024-06-02,CUST-01829,Product C,Home & Kitchen,South,1,80.75,50.43,30.32,5.0
2024-06-02,CUST-02946,Product E,Apparel,South,3,180.0,113.82,66.18,0.0
2024-06-02,CUST-01605,Product D,Apparel,South,4,180.0,108.42,71.58,0.0
2024-06-02,CUST-01936,Product A,Electronics,South,3,660.0,402.63,257.37,0.0
2024-06-02,CUST-02796,Product E,Apparel,North,4,276.0,176.1,99.9,0.0
2024-06-02,CUST-00542,Product C,Home & Kitchen,East,2,153.0,105.05,47.95,0.0
2024-06-02,CUST-02101,Product E,Apparel,East,4,216.0,150.55,65.45,0.0
2024-06-02,CUST-01239,Product A,Electronics,West,1,231.0,142.35,88.65,0.0
2024-06-02,CUST-01168,Product C,Home & Kitchen,West,3,254.36,177.48,76.88,5.0
2024-06-02,CUST-01218,Product D,Apparel,South,6,270.0,184.62,85.38,0.0
2024-06-02,CUST-01206,Product A,Electronics,North,7,1771.0,1180.5,590.5,0.0
2024-06-02,CUST-01684,Product A,Electronics,East,2,396.0,251.75,144.25,0.0
2024-06-02,CUST-00134,Product A,Electronics,North,5,1075.25,738.18,337.07,15.0
2024-06-02,CUST-01700,Product E,Apparel,West,2,107.1,86.67,20.43,15.0
2024-06-02,CUST-01036,Product E,Apparel,East,5,229.5,150.34,79.16,15.0
2024-06-02,CUST-02146,Product D,Apparel,East,1,40.5,24.4,16.1,0.0
2024-06-02,CUST-02550,Product B,Electronics,South,1,272.0,237.3,34.7,20.0
2024-06-02,CUST-02931,Product A,Electronics,North,3,759.0,524.53,234.47,0.0
2024-06-02,CUST-02194,Product C,Home & Kitchen,East,3,229.5,139.18,90.32,0.0
